text,Sentiments
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,2
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,0
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",1
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",0
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",1
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",0
@VirginAmerica Have a great week 🌞✈,1
@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,1
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",1
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,1
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,1
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",1
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,2
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,2
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,1
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,1
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",0
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,1
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,0
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,0
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,2
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,2
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,0
@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,2
@VirginAmerica Another delayed flight? #likingyoulessandless,2
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,2
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,1
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",0
@VirginAmerica always!!! Xoxo,1
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,2
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,2
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,1
@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,0
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,2
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,1
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",2
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,2
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,1
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,1
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,2
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,2
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,0
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),1
@VirginAmerica is your website ever coming back online?,0
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",0
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,0
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,0
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,2
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,2
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",2
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",2
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",2
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,2
@VirginAmerica is the website down?,2
@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,2
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,2
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,0
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,2
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,2
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,0
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",0
@VirginAmerica Lister to my show my on Monday 1230 130,0
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,0
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",2
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,2
@VirginAmerica I'd love to know what your policy is for damaged luggage.,0
@VirginAmerica Thank you for the follow,1
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,2
@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,2
@VirginAmerica @TTINAC11 I DM you,0
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,0
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,2
@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,2
😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,1
@VirginAmerica Only way to fly! #Elevate #Gold,1
@VirginAmerica If only you guys had flights from CMH.,0
"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",2
@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,2
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,0
@VirginAmerica you will match my #AmericanAirlines status? Cool!,1
“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,0
@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,2
@VirginAmerica you suck!,2
@VirginAmerica thanks!,1
@VirginAmerica Just DM'd. Same issue persisting.,2
@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,2
@VirginAmerica trying to book a flight &amp; your site is down 😁,2
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,2
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,2
@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,1
@VirginAmerica Your website is down and I'm trying to check in!,2
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",1
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,0
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,1
@VirginAmerica Keep up the great work :),1
@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,1
@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,1
@VirginAmerica can you please get me to the new york area before monday afternoon,0
"@VirginAmerica Thanks so much for the awesome support, you guys rock!",1
@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,2
@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,2
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,2
@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,1
@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,2
@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,2
"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",0
"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",2
@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,2
"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",2
@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,2
@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,2
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,2
@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,1
@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,1
@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,2
"@VirginAmerica it’s just a bug report, guys",0
@VirginAmerica hold times at call center are a bit much,2
@VirginAmerica Like http://t.co/VPqEm31XUQ,1
@VirginAmerica Site down? #help,2
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,1
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",1
@VirginAmerica thanks so much!,1
"@VirginAmerica Trying to reset my password, email never arrives. Help?",2
"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",1
@VirginAmerica Very nicely done. 👏,1
@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),1
@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,2
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",2
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,1
@VirginAmerica sounds like fun !,1
@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,0
@virginamerica spruce moose!,0
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",2
"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",2
"@VirginAmerica classiq, luv Virgin America. Greetingz",1
"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",2
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,1
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,1
@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,1
"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",2
@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,2
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,2
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",1
"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",0
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,1
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",0
@VirginAmerica any plans to start flying direct from DAL to LAS?,0
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,0
"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",1
@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒,2
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,0
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,0
@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,2
@VirginAmerica there is something wrong with you website in Safari iPhone,2
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,1
@VirginAmerica Already checked in so the page expired :X,2
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,2
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,0
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,0
@VirginAmerica I see what you did there ;),1
@VirginAmerica way to take advantage of #MayweatherPacquiao :),0
@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,0
@VirginAmerica your inflight team makes the experience #amazing!,1
@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,1
"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",2
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,0
@VirginAmerica fav airline,1
@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),1
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,0
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,0
@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,2
@VirginAmerica Thank you!!,1
@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,2
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,0
@VirginAmerica I need you to follow back in order to DM.,0
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,0
@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,0
@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,2
@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,2
@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),2
@VirginAmerica what is your policy on flying after surgery?,0
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,0
"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",2
@VirginAmerica would love to do more for virgin just like I do for @GoPro,1
@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,0
"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application.",0
@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,0
"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ",0
@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,2
@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,0
@VirginAmerica @madbee95 check the website before you go to the airport!,0
@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,2
@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,0
@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,1
"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",2
@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,2
@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,1
"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",1
@VirginAmerica happy to spend the day together. Let's do this!,1
@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,0
@VirginAmerica missed my flight. How does standby work?,0
.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps,1
@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS,0
@VirginAmerica thank you! I absolutely will 😎,1
@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD,2
@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘,0
